Hora,S1_Patrimonio,S2_Patrimonio,S3_Patrimonio
02:41:54,4574.90074698,4554.08883808,5077.50888592
02:42:12,4574.90074698,4555.31583808,5077.17910136
02:42:29,4574.90074698,4554.90694768,5076.66567777
02:42:46,4574.90074698,4555.4282305,5077.33941536
02:43:04,4574.90074698,4553.94223346,5076.30287723
02:43:21,4574.90074698,4553.57460722,5076.18809743
02:43:38,4574.90074698,4554.31683808,5076.66666719
02:43:55,4574.90074698,4553.89216054,5076.01836166
02:44:12,4574.90074698,4556.45541361,5077.31006674
02:44:30,4574.90074698,4556.13058181,5077.58410018
02:44:47,4574.90074698,4555.96303916,5077.80670051
02:45:05,4574.90074698,4556.58948186,5078.21208925
02:45:22,4574.90074698,4556.17414408,5078.0368071
02:45:39,4574.90074698,4555.90266404,5078.0239605
02:45:56,4574.90074698,4554.2080618,5076.88061036
02:46:13,4574.90074698,4555.88219632,5077.79552731
02:46:30,4574.90074698,4557.86483796,5079.4107471
02:46:47,4574.90074698,4561.93419503,5080.3579117
02:47:04,4574.90074698,4562.23985296,5081.91476436
02:47:22,4574.90074698,4562.74315153,5081.1716317
02:47:39,4574.90074698,4562.94772967,5081.74038746
02:47:57,4574.90074698,4562.46888388,5081.69454711
02:48:14,4574.90074698,4562.2808287,5081.80908559
02:48:31,4574.90074698,4562.5226258,5081.96885564
02:48:48,4574.90074698,4563.23491808,5082.1786371
02:49:06,4574.90074698,4563.28914288,5081.89004247
02:49:23,4574.90074698,4563.12884995,5081.8150617
02:49:40,4574.90074698,4563.77622542,5081.9145371
02:49:58,4574.90074698,4562.99813281,5081.6972571
02:50:15,4574.90074698,4563.65273308,5081.82521084
02:50:32,4574.90074698,4563.80919808,5082.3218671
02:50:50,4574.90074698,4564.50175808,5082.1181685
02:51:07,4574.90074698,4566.34095848,5083.81224756
02:51:24,4574.90074698,4570.31739808,5085.47973622
02:51:41,4574.90074698,4571.91760523,5085.23173146
02:51:59,4574.90074698,4574.52920295,5088.03562707
02:52:16,4574.90074698,4574.24243242,5088.67049511
02:52:33,4574.90074698,4574.3540579,5089.06075669
02:52:50,4574.90074698,4573.94413775,5089.66850566
02:53:07,4574.90074698,4573.50360158,5089.20653303
02:53:25,4574.90074698,4572.95734524,5089.28191547
02:53:43,4574.90074698,4573.1989792,5089.31032128
02:54:00,4574.90074698,4574.63225025,5090.01181856
02:54:17,4574.90074698,4576.56172301,5091.11702933
02:54:34,4574.90074698,4574.59708081,5089.68020674
02:54:51,4574.90074698,4574.60783443,5088.81719878
02:55:08,4574.90074698,4573.6208767,5088.06032685
02:55:26,4574.90074698,4574.21745018,5087.62043934
02:55:43,4574.90074698,4573.97390524,5088.58250902
02:56:00,4574.90074698,4573.32551456,5087.932389
02:56:17,4574.90074698,4575.97919808,5089.5103171
02:56:35,4574.90074698,4581.24506372,5093.27204682
